column_name,is_updated_column,possible_original_name,original_column_exists
PrimateAI_rankscore_new,TRUE,PrimateAI_rankscore,FALSE
PrimateAI_score_new,TRUE,PrimateAI_score,FALSE
Protein_position_new,TRUE,Protein_position,FALSE
REF_ALLELE_new,TRUE,REF_ALLELE,FALSE
REVEL_new,TRUE,REVEL,FALSE
REVEL_rankscore_new,TRUE,REVEL_rankscore,FALSE
RVIS_EVS_new,TRUE,RVIS_EVS,FALSE
RVIS_ExAC_new,TRUE,RVIS_ExAC,FALSE
RVIS_percentile_EVS_new,TRUE,RVIS_percentile_EVS,FALSE
RVIS_percentile_ExAC_new,TRUE,RVIS_percentile_ExAC,FALSE
Refseq_id_new,TRUE,Refseq_id,FALSE
Reliability_index_new,TRUE,Reliability_index,FALSE
SIFT_new,TRUE,SIFT,FALSE
SOMATIC_new,TRUE,SOMATIC,FALSE
STRAND_new,TRUE,STRAND,FALSE
SYMBOL_SOURCE_new,TRUE,SYMBOL_SOURCE,FALSE
SpliceAI_pred_DP_AG_new,TRUE,SpliceAI_pred_DP_AG,FALSE
SpliceAI_pred_DP_AL_new,TRUE,SpliceAI_pred_DP_AL,FALSE
SpliceAI_pred_DP_DG_new,TRUE,SpliceAI_pred_DP_DG,FALSE
SpliceAI_pred_DP_DL_new,TRUE,SpliceAI_pred_DP_DL,FALSE
SpliceAI_pred_DS_AG_new,TRUE,SpliceAI_pred_DS_AG,FALSE
SpliceAI_pred_DS_AL_new,TRUE,SpliceAI_pred_DS_AL,FALSE
SpliceAI_pred_DS_DG_new,TRUE,SpliceAI_pred_DS_DG,FALSE
SpliceAI_pred_DS_DL_new,TRUE,SpliceAI_pred_DS_DL,FALSE
SpliceAI_pred_SYMBOL_new,TRUE,SpliceAI_pred_SYMBOL,FALSE
TOPMed_frz8_AC_new,TRUE,TOPMed_frz8_AC,FALSE
TOPMed_frz8_AF_new,TRUE,TOPMed_frz8_AF,FALSE
TOPMed_frz8_AN_new,TRUE,TOPMed_frz8_AN,FALSE
TRANSCRIPTION_FACTORS_new,TRUE,TRANSCRIPTION_FACTORS,FALSE
TSL_new,TRUE,TSL,FALSE
Tissue_specificity_Uniprot_new,TRUE,Tissue_specificity_Uniprot,FALSE
Trait_association_GWAS_new,TRUE,Trait_association_GWAS,FALSE
UPLOADED_ALLELE_new,TRUE,UPLOADED_ALLELE,FALSE
Uniprot_acc_HGNC_Uniprot_new,TRUE,Uniprot_acc_HGNC_Uniprot,FALSE
Uniprot_acc_new,TRUE,Uniprot_acc,FALSE
Uniprot_entry_new,TRUE,Uniprot_entry,FALSE
Uniprot_id_HGNC_Uniprot_new,TRUE,Uniprot_id_HGNC_Uniprot,FALSE
VARITY_ER_LOO_rankscore_new,TRUE,VARITY_ER_LOO_rankscore,FALSE
VARITY_ER_LOO_score_new,TRUE,VARITY_ER_LOO_score,FALSE
VARITY_ER_rankscore_new,TRUE,VARITY_ER_rankscore,FALSE
VARITY_ER_score_new,TRUE,VARITY_ER_score,FALSE
VARITY_R_LOO_rankscore_new,TRUE,VARITY_R_LOO_rankscore,FALSE
VARITY_R_LOO_score_new,TRUE,VARITY_R_LOO_score,FALSE
VARITY_R_rankscore_new,TRUE,VARITY_R_rankscore,FALSE
VARITY_R_score_new,TRUE,VARITY_R_score,FALSE
VindijiaNeandertal_new,TRUE,VindijiaNeandertal,FALSE
ZFIN_zebrafish_gene_new,TRUE,ZFIN_zebrafish_gene,FALSE
ZFIN_zebrafish_phenotype_quality_new,TRUE,ZFIN_zebrafish_phenotype_quality,FALSE
ZFIN_zebrafish_phenotype_tag_new,TRUE,ZFIN_zebrafish_phenotype_tag,FALSE
ZFIN_zebrafish_structure_new,TRUE,ZFIN_zebrafish_structure,FALSE
aapos_new,TRUE,aapos,FALSE
am_class_new,TRUE,am_class,FALSE
am_pathogenicity_new,TRUE,am_pathogenicity,FALSE
bStatistic_converted_rankscore_new,TRUE,bStatistic_converted_rankscore,FALSE
bStatistic_new,TRUE,bStatistic,FALSE
cDNA_position_new,TRUE,cDNA_position,FALSE
clinvar_MedGen_id_new,TRUE,clinvar_MedGen_id,FALSE
clinvar_OMIM_id_new,TRUE,clinvar_OMIM_id,FALSE
