tool_category,tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present
Continuous deleteriousness / constraint score,VARITY-R-LOO,Non-coding/regulatory,143,0,143,0,VARITY_R_LOO_score_new
Continuous deleteriousness / constraint score,VARITY-ER-LOO,Non-coding/regulatory,143,0,143,0,VARITY_ER_LOO_score_new
Continuous deleteriousness / constraint score,gMVP,Non-coding/regulatory,143,0,143,0,gMVP_score_new
Continuous deleteriousness / constraint score,MisFit-D,Non-coding/regulatory,143,0,143,0,MisFit_D_score_new; MisFit_D_pred_lenient_new; MisFit_D_pred_stringent_new
Continuous deleteriousness / constraint score,MisFit-S,Non-coding/regulatory,143,0,143,0,MisFit_S_score_new
Splicing predictor,ada_score,Non-coding/regulatory,143,0,143,0,ada_score; ada_score_new
Splicing predictor,rf_score,Non-coding/regulatory,143,0,143,0,rf_score; rf_score_new
Splicing predictor,MaxEntScan,Non-coding/regulatory,143,0,143,0,MaxEntScan_diff; MaxEntScan_alt_new; MaxEntScan_diff_new; MaxEntScan_ref_new
Conservation score,Eigen-PC,Non-coding/regulatory,143,0,143,0,None
Substitution matrix / descriptive feature,BLOSUM62,Non-coding/regulatory,143,0,143,0,BLOSUM62_new
Gene-level intolerance / LoF metric,Aloft,Non-coding/regulatory,143,0,143,0,Aloft_pred_new; Aloft_Confidence_new
Gene-level intolerance / LoF metric,LoFtool,Non-coding/regulatory,143,0,143,0,LoFtool_score_new
Gene-level intolerance / LoF metric,HIPred,Non-coding/regulatory,143,0,143,0,HIPred_score_new
Gene-level intolerance / LoF metric,GDI,Non-coding/regulatory,143,0,143,0,GDI_new
Gene-level intolerance / LoF metric,GHIS,Non-coding/regulatory,143,0,143,0,GHIS_new
Continuous deleteriousness / constraint score,CADD,Other coding,67,26,41,38.8,CADD_PHRED; CADD_PHRED_new; CADD_RAW_new
Splicing predictor,SpliceAI,Other coding,67,20,47,29.9,SpliceAI_pred_DS_AG_new; SpliceAI_pred_DS_AL_new; SpliceAI_pred_DS_DG_new; SpliceAI_pred_DS_DL_new; SpliceAI_pred_SYMBOL_new
Individual missense predictor,MutationAssessor,Other coding,67,2,65,3,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new
Individual missense predictor,SIFT,Other coding,67,0,67,0,SIFT_score; SIFT_new
Individual missense predictor,PolyPhen-2,Other coding,67,0,67,0,PolyPhen_score; PolyPhen_new
Individual missense predictor,MutationTaster,Other coding,67,0,67,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new
Individual missense predictor,LRT,Other coding,67,0,67,0,LRT_score
Individual missense predictor,PROVEAN,Other coding,67,0,67,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new
Individual missense predictor,FATHMM,Other coding,67,0,67,0,FATHMM_score_seperated
Meta/ensemble predictor,FATHMM-MKL,Other coding,67,0,67,0,fathmm-MKL_coding_score
Modern/deep learning predictor,FATHMM-XF,Other coding,67,0,67,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new
Meta/ensemble predictor,REVEL,Other coding,67,0,67,0,REVEL_score; REVEL_score_new; REVEL_new
Meta/ensemble predictor,ClinPred,Other coding,67,0,67,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new
Meta/ensemble predictor,MetaSVM,Other coding,67,0,67,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new
Meta/ensemble predictor,MetaLR,Other coding,67,0,67,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new
Meta/ensemble predictor,BayesDel addAF,Other coding,67,0,67,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new
Meta/ensemble predictor,BayesDel noAF,Other coding,67,0,67,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new
Meta/ensemble predictor,LIST-S2,Other coding,67,0,67,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new
Continuous deleteriousness / constraint score,DANN,Other coding,67,0,67,0,DANN_score; DANN_score_new
Modern/deep learning predictor,DEOGEN2,Other coding,67,0,67,0,DEOGEN2_score_new; DEOGEN2_pred_new
Modern/deep learning predictor,ESM1b,Other coding,67,0,67,0,ESM1b_score_new; ESM1b_pred_new
Modern/deep learning predictor,MetaRNN,Other coding,67,0,67,0,MetaRNN_score_new; MetaRNN_pred_new
Modern/deep learning predictor,MutPred / MutPred2,Other coding,67,0,67,0,MutPred_score; MutPred2_score_new; MutPred2_pred_new
Modern/deep learning predictor,PrimateAI,Other coding,67,0,67,0,PrimateAI_score_new; PrimateAI_pred_new
Modern/deep learning predictor,AlphaMissense,Other coding,67,0,67,0,am_class_new; am_pathogenicity_new
Modern/deep learning predictor,EVE,Other coding,67,0,67,0,EVE_CLASS_new; EVE_SCORE_new
Modern/deep learning predictor,popEVE,Other coding,67,0,67,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new
Continuous deleteriousness / constraint score,MPC,Other coding,67,0,67,0,MPC_score_new
Continuous deleteriousness / constraint score,MVP,Other coding,67,0,67,0,MVP_score_new
Continuous deleteriousness / constraint score,MutFormer,Other coding,67,0,67,0,MutFormer_score_new
Continuous deleteriousness / constraint score,PHACTboost,Other coding,67,0,67,0,PHACTboost_score_new
Continuous deleteriousness / constraint score,VARITY-R,Other coding,67,0,67,0,VARITY_R_score_new
Continuous deleteriousness / constraint score,VARITY-ER,Other coding,67,0,67,0,VARITY_ER_score_new
Continuous deleteriousness / constraint score,VARITY-R-LOO,Other coding,67,0,67,0,VARITY_R_LOO_score_new
Continuous deleteriousness / constraint score,VARITY-ER-LOO,Other coding,67,0,67,0,VARITY_ER_LOO_score_new
Continuous deleteriousness / constraint score,gMVP,Other coding,67,0,67,0,gMVP_score_new
Continuous deleteriousness / constraint score,MisFit-D,Other coding,67,0,67,0,MisFit_D_score_new; MisFit_D_pred_lenient_new; MisFit_D_pred_stringent_new
Continuous deleteriousness / constraint score,MisFit-S,Other coding,67,0,67,0,MisFit_S_score_new
