threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
19.68,19.68,742,395,131,60,156,0.709,0.717,0.686,0.701,0.362
19.87,19.87,742,390,133,58,161,0.705,0.708,0.696,0.702,0.361
19.96,19.96,742,387,134,57,164,0.702,0.702,0.702,0.702,0.36
20.4,20.4,742,379,137,54,172,0.695,0.688,0.717,0.703,0.359
19.89,19.89,742,389,133,58,162,0.704,0.706,0.696,0.701,0.359
19.8,19.8,742,391,132,59,160,0.705,0.71,0.691,0.7,0.359
4.975,4.975,742,525,59,132,26,0.787,0.953,0.309,0.631,0.359
21.7,21.7,742,344,150,41,207,0.666,0.624,0.785,0.705,0.358
21.5,21.5,742,349,148,43,202,0.67,0.633,0.775,0.704,0.358
20.5,20.5,742,378,137,54,173,0.694,0.686,0.717,0.702,0.358
19.91,19.91,742,388,133,58,163,0.702,0.704,0.696,0.7,0.358
21.6,21.6,742,346,149,42,205,0.667,0.628,0.78,0.704,0.357
21.4,21.4,742,354,146,45,197,0.674,0.642,0.764,0.703,0.357
21.2,21.2,742,361,143,48,190,0.679,0.655,0.749,0.702,0.355
21.3,21.3,742,358,144,47,193,0.677,0.65,0.754,0.702,0.354
4.706,4.706,742,525,58,133,26,0.786,0.953,0.304,0.628,0.354
21.8,21.8,742,337,151,40,214,0.658,0.612,0.791,0.701,0.352
21.9,21.9,742,334,152,39,217,0.655,0.606,0.796,0.701,0.352
4.184,4.184,742,527,56,135,24,0.786,0.956,0.293,0.625,0.352
22.2,22.2,742,328,154,37,223,0.65,0.595,0.806,0.701,0.351
3.882,3.882,742,528,55,136,23,0.786,0.958,0.288,0.623,0.351
4.592,4.592,742,525,57,134,26,0.784,0.953,0.298,0.626,0.349
3.262,3.262,742,531,52,139,20,0.786,0.964,0.272,0.618,0.349
22.1,22.1,742,332,152,39,219,0.652,0.603,0.796,0.699,0.348
20.6,20.6,742,372,137,54,179,0.686,0.675,0.717,0.696,0.347
4.393,4.393,742,526,56,135,25,0.784,0.955,0.293,0.624,0.347
22.4,22.4,742,319,156,35,232,0.64,0.579,0.817,0.698,0.346
3.925,3.925,742,527,55,136,24,0.784,0.956,0.288,0.622,0.346
1.913,1.913,742,541,42,149,10,0.786,0.982,0.22,0.601,0.346
3.86,3.86,742,528,54,137,23,0.784,0.958,0.283,0.62,0.345
2.123,2.123,742,540,43,148,11,0.786,0.98,0.225,0.603,0.345
3.265,3.265,742,530,52,139,21,0.784,0.962,0.272,0.617,0.344
21.1,21.1,742,362,140,51,189,0.677,0.657,0.733,0.695,0.343
4.471,4.471,742,525,56,135,26,0.783,0.953,0.293,0.623,0.343
3.191,3.191,742,531,51,140,20,0.784,0.964,0.267,0.615,0.343
22.3,22.3,742,322,154,37,229,0.642,0.584,0.806,0.695,0.342
3.066,3.066,742,532,50,141,19,0.784,0.966,0.262,0.614,0.342
2.912,2.912,742,533,49,142,18,0.784,0.967,0.257,0.612,0.342
20.9,20.9,742,366,138,53,185,0.679,0.664,0.723,0.693,0.341
22.6,22.6,742,309,158,33,242,0.629,0.561,0.827,0.694,0.34
20.7,20.7,742,368,137,54,183,0.681,0.668,0.717,0.693,0.34
3.79,3.79,742,528,53,138,23,0.783,0.958,0.277,0.618,0.34
2.624,2.624,742,536,46,145,15,0.784,0.973,0.241,0.607,0.34
1.711,1.711,742,541,41,150,10,0.784,0.982,0.215,0.598,0.34
21,21,742,365,138,53,186,0.678,0.662,0.723,0.692,0.339
3.532,3.532,742,529,52,139,22,0.783,0.96,0.272,0.616,0.339
2.203,2.203,742,539,43,148,12,0.784,0.978,0.225,0.602,0.339
2.096,2.096,742,540,42,149,11,0.784,0.98,0.22,0.6,0.339
20.8,20.8,742,367,137,54,184,0.679,0.666,0.717,0.692,0.338
3.104,3.104,742,531,50,141,20,0.783,0.964,0.262,0.613,0.337
22.5,22.5,742,312,156,35,239,0.631,0.566,0.817,0.691,0.336
